hcat4_code,hcat4_name,seasonality_code,seasonality_name
3310707130,white_cabbage,0,NA
3310707990,other_brassicaceae_cruciferae,0,NA
3310708000,alliums,0,NA
3310708010,chives,0,NA
3310708020,garlic,0,NA
3310708030,leek,0,NA
3310708040,onions,0,NA
3310708050,scallion,0,NA
3310708060,shallot,0,NA
3310709000,rhubarb,0,NA
3310710000,purslane,0,NA
3310711000,celery,0,NA
3310711010,celeriac,0,NA
3310711020,leaf_celery,0,NA
3310712000,aubergine_eggplant,0,NA
3310713000,artichoke,0,NA
3310714000,tomato,0,NA
3310715000,root_vegetables,0,NA
3310715010,arctium_burdock,0,NA
3310715020,carrots_daucus,0,NA
3310715030,parsnips,0,NA
3310715040,radish,0,NA
3310715050,turnips,0,NA
3310715060,horseradish,0,NA
3310715070,swede_rutabaga,0,NA
3310715080,stachys_hedgenettle_chinese_artichoke,0,NA
3310715090,salsify,0,NA
3310715990,other_root_vegetables,0,NA
3310716000,capsicum,0,NA
3310716010,bell_pepper_paprika,0,NA
3310716020,chili_pepper,0,NA
3310717000,salads_lettuce_leaf_vegetables,0,NA
3310717010,chicory_chicories,0,NA
3310717020,endive,0,NA
3310717030,iceberg,0,NA
3310717040,lambs_lettuce_rapunzel,0,NA
3310717050,rocket_arugula,0,NA
3310717060,sorrel,0,NA
3310717070,spinach,0,NA
3310717990,other_salads_lettuce_leaf_vegetables,0,NA
3310718000,cress,0,NA
3310719000,beta_vulgaris,0,NA
3310719010,sugar_beet,0,NA
3310719020,mangelwurzel_beets,0,NA
3310719030,other_beta_vulgaris,0,NA
3310799000,other_fresh_vegetables,0,NA
3310800000,flowers_ornamental_plants,0,NA
3310801000,adonis,0,NA
3310802000,anemones_windflowers,0,NA
3310803000,asters,0,NA
3310804000,begonias,0,NA
3310805000,bluebells,0,NA
3310806000,bulrush,0,NA
3310807000,burnet,0,NA
3310808000,carnation,0,NA
3310809000,chrysanthemum,0,NA
3310810000,cornflowers,0,NA
3310811000,corsican_hellebore,0,NA
3310812000,dahlia,0,NA
3310813000,daisy_daisies,0,NA
3310814000,dandelions,0,NA
3310815000,echinacea,0,NA
3310816000,edelweiss,0,NA
3310818000,fuchsias,0,NA
3310820000,gentians,0,NA
3310821000,gladiolus_gladioli,0,NA
3310822000,goldenrod,0,NA
3310823000,iris,0,NA
3310825000,lilies,0,NA
3310827000,lunaria_honesty_silver,0,NA
3310828000,malva,0,NA
3310829000,milk_star,0,NA
3310833000,narcissus_daffodil,0,NA
3310834000,peony_peonies,0,NA
3310835000,primrose,0,NA
3310837000,roses,0,NA
3310838000,rudbeckia,0,NA
3310839000,safflower,0,NA
3310841000,sanvitalia_procumbens,0,NA
3310843000,silene_catchfly,0,NA
3310844000,silphium_rosinweeds,0,NA
3310845000,snapdragons,0,NA
3310846000,stonecrop,0,NA
3310847000,tagetes,0,NA
3310848000,thimbles,0,NA
3310849000,tulips,0,NA
3310850000,viola,0,NA
3310852000,zinnias,0,NA
3310853000,ericaceae_heather,0,NA
3310899000,other_flowers_ornamental_plants,0,NA
3311000000,seed_seedlings,0,NA
3311100000,fallow_land_not_crop,0,NA
3311200000,kitchen_gardens,0,NA
3311300000,phacelia,0,NA
3319900000,other_arable_land_crops,0,NA
3320000000,grassland_grass,0,NA
3320100000,permanent_grassland,0,NA
3320200000,temporary_grassland,0,NA
3320201000,poaceae_grasses,0,NA
3320201010,elymus,0,NA
3320201020,festuca_fescue,0,NA
3320201030,cocksfoot_catgrass,0,NA
3320201040,festulolium,0,NA
3320201050,lolium_ryegrass,0,NA
3320201060,setaria,0,NA
3320201070,sod_turf,0,NA
3320201080,switchgrass,0,NA
3320201090,timothy,0,NA
3320201100,canary_seed_canaryseed,0,NA
3320209900,other_poaceae_grasses,0,NA
3330000000,permanent_crops_perennial,0,NA
3330100000,orchards_fruits,0,NA
3330101000,amelanchier_serviceberry,0,NA
3330102000,apples,0,NA
3330103000,apricots,0,NA
3330104000,cherry_cherries,0,NA
3330105000,feijoa,0,NA
3330106000,fig,0,NA
3330107000,kiwi,0,NA
3330108000,medlar_loquat,0,NA
3330109000,nectarine,0,NA
3330110000,pawpaw,0,NA
3330111000,peach,0,NA
3330112000,pears,0,NA
3330113000,plums,0,NA
3330114000,pomegranate,0,NA
3330115000,quinces,0,NA
3330116000,avocado,0,NA
3330199000,other_orchards_fruits,0,NA
3330200000,berries_berry_species,0,NA
3330201000,aronia_chokeberries,0,NA
3330202000,rubus_brambles,0,NA
3330202010,blackberry,0,NA
3330202020,raspberry_raspberries,0,NA
3330202030,tayberry,0,NA
3330202990,other_rubus_brambles,0,NA
3330204000,vaccinium,0,NA
3330204010,blueberry,0,NA
3330204020,cranberry,0,NA
3330206000,ribes,0,NA
3330206010,blackcurrant_cassis,0,NA
3330206020,redcurrant,0,NA
3330206030,gooseberry_gooseberries,0,NA
3330206990,other_ribes,0,NA
3330208000,hippophae_sea_buckthorns_seaberry,0,NA
3330213000,rowan_rowanberries,0,NA
3330299000,other_berries_berry_species,0,NA
3330300000,nuts,0,NA
3330301000,almond,0,NA
3330302000,hazelnuts_hazel,0,NA
3330303000,pecan,0,NA
3330304000,pistachio,0,NA
3330305000,sweet_chestnuts,0,NA
3330306000,walnuts,0,NA
3330399000,other_nuts,0,NA
3330400000,citrus,0,NA
3330401000,clementine,0,NA
3330402000,orange,0,NA
3330403000,mandarin,0,NA
3330404000,lemons,0,NA
3330499000,other_citrus,0,NA
3330500000,olive,0,NA
3330600000,vineyards_wine_vine_rebland_grapes,0,NA
3330700000,nurseries_nursery,0,NA
3330800000,shrubberries_shrubs,0,NA
3330801000,azaleas,0,NA
3330802000,chaenomeles_cathayensis,0,NA
3330803000,crataegus_hawthorn,0,NA
3330804000,elder_elderberry,0,NA
3330805000,honeysuckle,0,NA
3330806000,ricinus_castor,0,NA
3330807000,wire_bush,0,NA
3330899000,other_shrubs,0,NA
3330901000,carob,0,NA
3340200000,truffle,0,NA
3340300000,mushrooms,0,NA
3349900000,other_mushrooms,0,NA
3350000000,greenhouse_foil_film,0,NA
3360000000,tree_wood_forest,0,NA
3360100000,afforestation_reforestation,0,NA
3360200000,aspen,0,NA
3360300000,birch,0,NA
3360400000,dogwood_cornus,0,NA
3360500000,eucalyptus,0,NA
3360600000,oak,0,NA
3360700000,populus,0,NA
3360800000,willows_osiers,0,NA
3360900000,conifers,0,NA
3361000000,gingko,0,NA
3369900000,other_tree_wood_forest,0,NA
3370000000,unmaintained,0,NA
3390000000,not_known_and_other,0,NA
